,Name,Web Site,Phone Number,Map,Indoor or Outdoor:,Estimated Cost,Facebook Page,Image Link,Pickleball Nets,Parking,Email Address,Comments,Restroom,How to contact other players,water fountain,Caution,Bathroom,Court Surface,Time,Lights
0,Auburn Community and Event Center (Auburn)                                Also known as Gymnasium at Les Gove Park (Auburn),http://www.auburnwa.gov/play,(253) 931-3043,"910 9th St SE, Auburn, WA 98002",Indoor,$,,,,,,,,,,,,,,
1,Auburn Valley YMCA (Auburn),http://www.seattleymca.org/locations/auburn-valley-ymca,(253) 833-2770,"1620 Perimeter Rd SW, Auburn, WA 98001",Indoor,"Free for members, daily fee for non-members.",https://www.facebook.com/AuburnValleyYMCA/,,,,,,,,,,,,,
2,Five Mile Lake Park (Auburn),http://www.kingcounty.gov/services/parks-recreation/parks/parks-and-natural-lands/parksatoz.aspx,,"36429 44th Ave S, Auburn, WA 98001",Outdoor,Free,https://www.facebook.com/pages/5-Mile-Lake/165040780227460,2 courts.,You will have to bring your own pickleball net,,,,,,,,,,,
3,Game Farm Park (Auburn),http://www.auburnwa.gov/things_to_do/...,,"Dedicated courts:                                            3030 R St SE, Auburn, Washington 98002Shared courts:                                            3030 R St SE, Auburn, Washington 98002",Public outdoor courts,Bring your own net to play on the shared tennis and pickleball courts.                                                                                        The dedicated pickleball courts have permanent nets.,https://www.facebook.com/pages/Game-Farm-Park/125461140834682,,"4 dedicated pickleball courts and                                                                                        4 public tennis courts, each with lines for 2 pickleball courts",Free,,,,,,,,,,
4,Scootie Brown Park (Auburn),http://www.auburnwa.gov/things_to_do/...,,"1403 Henry Rd, Auburn, Washington 98002",Public outdoor court,1,https://www.facebook.com/pages/Scootie-Brown-Park/122531214599949,,,Free,,,,,,,,,,
5,Shaughnessy Park (Auburn),http://www.auburnwa.gov/things_to_do/...,,"3302 21st St SE, Auburn, Washington 98002",Public outdoor court,1,https://www.facebook.com/pages/Shaugnessy-Park/163247250482884,,,Free,,,,,,,,,,
6,North Bellevue Community Center's                                    Hidden Valley Field House (Bellevue)                                Also known as the Bellevue Boys and Girls Club Gym,https://parks.bellevuewa.gov/parks-and-trails/parks/hidden-valley-park/,(425) 452-7681,"1903 112th Ave NE, Bellevue, WA 98004",Indoor,,,,,,dlassiter@bellevuewa.gov,3 courts,,,,,,,,
7,Bellevue Family YMCA (Bellevue),http://www.seattleymca.org/locations/bellevue-family-ymca,(425) 746-9900,"14230 Bel Red Rd, Bellevue, WA 98007",Indoor,3 courts,https://www.facebook.com/BellevueFamilyYMCA,,,,,,,,,,,,,
8,Bellevue Tennis Academy (a.k.a. Gorin Tennis Bellevue) (Bellevue),https://www.gorintennis.com/bellevue/,(425) 256-3179,,,,https://www.facebook.com/gorintennis,,,,bellevuecustomercare@gorintennis.com,,,,,,,,,
9,Cherry Crest  Mini Park (Bellevue),https://bellevuewa.gov/.../cherry-crest-mini-park,,"2532 127th Ave NE, Bellevue, WA 98005",Outdoor,1 tennis courts lined for pickleball using the tennis net.,,,Street Parking,Free,,,,,,,,,,
10,Crossroads Community Center (Bellevue),https://bellevuewa.gov/city-government/departments/parks/community-centers/crossroads,(425) 452-4874,"16000 NE 10th St, Bellevue, WA 98008",Indoor,3 courts,https://www.facebook.com/pages/Crossroads-Community-Center/199758873373715,,,Free,ccc@bellevuewa.gov,,,,,,,,,
11,Crossroads  Park (Bellevue),https://bellevuewa.gov/city-government/departments/parks/parks-and-trails/parks/crossroads-park,,"16000 NE 10th St, Bellevue, WA 98008",Outdoor,"2 tennis courts, each one of them lined for pickleball using the tennis net.",,,Off-Street Parking,Free,,,,,,,,,,
12,Eastgate Park (Bellevue),https://bellevuewa.gov/city-government/departments/parks/parks-and-trails/parks/eastgate-park,,"14500 SE Newport Way, Bellevue, WA 98006",Outdoor,"2 tennis courts, each with lines for 2 pickleball courts                                            for a total of                                                                                        4 pickleball courts.",,,Free,No court lights,,,Four roll-away semi-permanent pickleball nets are available on the courts,,,,,,,
13,Enatai Neighborhood Park (Bellevue),https://parks.bellevuewa.gov/parks-and-trails/parks/enatai-neighborhood-park/,,"10661 SE 25th St, Bellevue, WA 98008",Outdoor,2 pickleball courts planned for 2023,,,,Free,,Off Street Parking,,,,,,,,
14,Highland  Park (Bellevue),https://bellevuewa.gov/city-government/departments/parks/parks-and-trails/parks/highland-park,,"14224 Bel-Red Road, Bellevue, WA 98007",Outdoor,"2 tennis courts, each one of them lined for pickleball using the tennis net.                                                                                            These tennis courts will be restriped in 2023 to have 4 pickleball courts.",,,Off-Street Parking,Free,,,,,,,,,,
15,Hillaire Park (Bellevue),https://parks.bellevuewa.gov/parks-and-trails/parks/hillaire-park/,,"15803 NE 6th Street, Bellevue, WA 98008",Outdoor,1 dedicated pickleball court                                                                                        2 pickleball courts on one tennis court.                                                                                        2 more pickleball courts on the other tennis court                                            coming in 2023.,,,,,,,,,,,,,,
16,International School (Bellevue),http://www.bsd405.org/international/,,"445 128th Ave SE, Bellevue, WA 98005",Public outdoor courts,6 courts,,,,"As of March 2019, the pickleball courts are never locked,                                            and have not been locked for months.                                            Hopefully they will stay open and free for everyone to use.                                            On school days, you can use the courts after school,                                            unless there are after-school events.                                            On weekends and other non-school days, the courts are free to use anytime.",,,,Use the school's upper parking lot.  What looks like a lower parking lot                                            is actually a receiving area and needs to be kept vacant at all times.,,,,,,
17,Lakemont Community Park (Bellevue),https://bellevuewa.gov/city-government/departments/parks/parks-and-trails/parks/lakemont-community-park,,"5170 Village Park Drive SE, Bellevue, WA 98006",Outdoor,Water fountain,,,Free,No court lights,,,Use the tennis net as a pickleball net,,"2 tennis courts, each one of them lined for pickleball using the tennis net.                                                                                            These tennis courts will be restriped in 2023                                                to have a total of 4 pickleball courts.",,,,,
18,North Bellevue Community Center (Bellevue),https://parks.bellevuewa.gov/community-centers/north-bellevue-community-center/,(425) 452-7681,"4063 148th Avenue NE, Bellevue, WA 98007",Indoor,2 courts,https://www.facebook.com/pages/North-Bellevue-Community-Center/111386052251994,,,$,,Off Street Parking,,,,,,,,
19,Norwood Village Neighborhood Park (Bellevue),https://bellevuewa.gov/city-government/departments/parks/parks-and-trails/parks/norwood-village-neighborhood-park,,"12309 SE 23rd Place, Bellevue, WA 98005",Outdoor,"2 tennis courts, each one of them lined for pickleball using the tennis net.",,,Off-Street Parking,Free,,,,,,,,,,
20,Robinswood Tennis Center (Bellevue),https://bellevuewa.gov/.../robinswood-tennis-center,(425) 452-7690,"2400 151st Pl SE,                                                Bellevue, WA 98007",Indoor,2 indoor tennis courts each with lines for 1 pickleball court                                            for a total of                                                                                        2 pickleball courts.                                            The tennis nets serve as the pickleball nets.,,,,$,robinswoodinfo@bellevuewa.gov,,,,,"The tennis courts in the bubble have lines for pickleball.                                                                                            The Bellevue Parks Department counts these two courts                                                in its inventory of pickleball courts.                                                                                        As of December 9th 2022, the Robinswood Tennis Center front desk didn't want to rent those courts for pickleball.",,,,
21,South Bellevue Community Center Fitness Center (Bellevue),https://parks.bellevuewa.gov/community-centers/sbcc/south-bellevue-community-center-fitness-center/,(425) 452-4240,"14509 SE Newport Way, Bellevue, WA 98009",Indoor,3 to 6 courts,,,,$,SBCC@BellevueWA.gov,,,,,,,,,
22,Spiritridge  Park (Bellevue),https://bellevuewa.gov/.../spiritridge-park,,"16100 SE 33rd Pl, Bellevue, WA 98008",Outdoor,1 tennis court that will be striped in 2023                                                to have 2 pickleball courts.,,,Off-Street Parking,Free,,,,,,,,,,
23,Zumdieck Park (Bellevue),https://bellevuewa.gov/city-government/departments/parks/parks-and-trails/parks/zumdieck-park/,,"1500 108th Ave NE, Bellevue, WA 98004",Outdoor,"2 tennis courts, one of them lined for pickleball using the tennis net",,,,Free,,,,,,,,,,
24,Brick Yard Road Park (Bothell),https://www.bothellwa.gov/1024/Brickyard-Road-Park,,"16800 Brickyard Rd NE, Bothell, WA 98011",outdoor,No water fountain,,,1 court,No Bathroom,,,,,,,No court lights,,,
25,Conifer View Park (Bothell),https://www.bothellwa.gov/1037/Conifer-View-Park,,"9055 NE 195th St, Bothell, WA 98011",outdoor,No water fountain,,,1 court,No Bathroom,,,,,,,No court lights,,,
26,Northshore YMCA (Bothell),https://www.seattleymca.org/locations/northshore-ymca,(425) 485-9797,"11811 NE 195th St, Bothell, Washington 98011",Indoor,"Free for members, daily fee for non-members.",https://www.facebook.com/NorthshoreYMCA/,,,,,,,,,,,,,
27,Northshore Senior Center (Bothell),http://www.northshoreseniorcenter.org/...,(425) 487-2441,"10201 E Riverside Dr, Bothell, WA 98011",Indoor,$,https://www.facebook.com/Northshore-Senior-Center-348956115009/,,,,,,,,,,,,,
28,The Ridge  Activity Center (Bothell),https://www.theridge.funhttps://pos.theridge.fun/theridgeac/...,(425) 892-9821,"3827 Maltby Road Bothell, WA 98012",3 indoor courts.                                                                                        3 outdoor courts.                                                                                        Reservations required.,Water available during business hours,https://www.facebook.com/ridgeactivitycenter,,No net included - Rental additional,"Fall 2022: $15/hour for all three outdoor courts,                                                                                        $50/hour for all three indoor courts",,,Restroom available during business hours,,,,,,,
29,Royal Oaks Park (Bothell),https://www.bothellwa.gov/1042/Royal-Oaks-Park,,"20155 106th Ave NE, Bothell, WA 98011",Outdoor,No Bathroom,,,1 court,No water fountain,,Free,,,,,No court lights,,,
30,William Penn Park (Bothell),https://www.bothellwa.gov/1445/William-Penn-Park,,"19900 100th Ave NE, Bothell, WA 98011",Outdoor,No Bathroom,,,1 court,Free,,,,,Bring your own net,,Water fountain was not functioning in August 2021,,,
31,Highline Athletic Club (Burien),,,,,,,,,,,,,,,,,,,
