"","place","Map","city","state","indoor","outdoor","players","total_courts","comments","updated"
"1","Auburn Community and Event Center (Auburn)
                                Also known as Gymnasium at Les Gove​ Park (Auburn)","910 9th St SE, Auburn, WA 98002","Auburn","Washington",1,0,NA,NA,NA,NA
"2","Auburn Valley YMCA (Auburn)","1620 Perimeter Rd SW, Auburn, WA 98001","Auburn","Washington",1,0,NA,NA,NA,NA
"3","Five Mile Lake​ Park (Auburn)","36429 44th Ave S, Auburn, WA 98001","Auburn","Washington",0,1,NA,NA,"2 courts.",NA
"4","Game Farm ​Park (Auburn)","Dedicated courts:
                                            3030 R St SE, Auburn, Washington 98002
                                            Shared courts:
                                            3030 R St SE, Auburn, Washington 98002","Auburn","Washington",0,1,NA,NA,"4 dedicated pickleball courts and
                                            
                                            4 public tennis courts, each with lines for 2 pickleball courts",NA
"5","Scootie Brown ​Park (Auburn)","1403 Henry Rd, Auburn, Washington 98002","Auburn","Washington",0,1,NA,NA,"1",NA
"6","Shaughnessy ​Park (Auburn)","3302 21st St SE, Auburn, Washington 98002","Auburn","Washington",0,1,NA,NA,"1",NA
"7","North Bellevue Community Center's
                                    Hidden Valley​ Field House (Bellevue)
                                Also known as the Bellevue Boys and Girls Club Gym","1903 112th Ave NE, Bellevue, WA 98004","Bellevue","Washington",1,0,NA,NA,"3 courts",NA
"8","Bellevue Family YMCA (Bellevue)","14230 Bel Red Rd, Bellevue, WA 98007","Bellevue","Washington",1,0,NA,NA,"3 courts",NA
"9","Bellevue Tennis Academy (a.k.a. Gorin Tennis Bellevue) (Bellevue)",NA,"Bellevue","Washington",NA,NA,NA,NA,NA,NA
"10","Cherry Crest  Mini Park (Bellevue)","2532 127th Ave NE, Bellevue, WA 98005","Bellevue","Washington",0,1,NA,NA,"1 tennis courts lined for pickleball using the tennis net.",NA
"11","Crossroads ​Community Center (Bellevue)","16000 NE 10th St, Bellevue, WA 98008","Bellevue","Washington",1,0,NA,NA,"3 courts",NA
"12","Crossroads  Park (Bellevue)","16000 NE 10th St, Bellevue, WA 98008","Bellevue","Washington",0,1,NA,NA,"2 tennis courts, each one of them lined for pickleball using the tennis net.",NA
"13","Eastgate Park (Bellevue)","14500 SE Newport Way, Bellevue, WA 98006","Bellevue","Washington",0,1,NA,NA,"No court lights",NA
"14","Enatai Neighborhood ​Park (Bellevue)","10661 SE 25th St, Bellevue, WA 98008","Bellevue","Washington",0,1,NA,NA,"2 pickleball courts planned for 2023",NA
"15","Highland  Park (Bellevue)","14224 Bel-Red Road, Bellevue, WA 98007","Bellevue","Washington",0,1,NA,NA,"2 tennis courts, each one of them lined for pickleball using the tennis net.
                                            
                                                These tennis courts will be restriped in 2023 to have 4 pickleball courts.",NA
"16","Hillaire ​Park (Bellevue)","15803 NE 6th Street, Bellevue, WA 98008","Bellevue","Washington",0,1,NA,NA,"1 dedicated pickleball court
                                            
                                            2 pickleball courts on one tennis court.
                                            
                                            2 more pickleball courts on the other tennis court
                                            
                                                coming in 2023.",NA
"17","​International School (Bellevue)","445 128th Ave SE, Bellevue, WA 98005","Bellevue","Washington",0,1,NA,NA,"6 courts",NA
"18","Lakemont Community Park (Bellevue)","5170 Village Park Drive SE, Bellevue, WA 98006","Bellevue","Washington",0,1,NA,NA,"No court lights",NA
"19","North Bellevue ​Community Center (Bellevue)","4063 148th Avenue NE, Bellevue, WA 98007","Bellevue","Washington",1,0,NA,NA,"2 courts",NA
"20","Norwood Village Neighborhood Park (Bellevue)","12309 SE 23rd Place, Bellevue, WA 98005","Bellevue","Washington",0,1,NA,NA,"2 tennis courts, each one of them lined for pickleball using the tennis net.",NA
"21","Robinswood ​Tennis Center (Bellevue)","2400 151st Pl SE,
                                                Bellevue, WA 98007","Bellevue","Washington",1,0,NA,NA,"2 indoor tennis courts each with lines for 1 pickleball court
                                            for a total of
                                            
                                            2 pickleball courts.
                                            The tennis nets serve as the pickleball nets.",NA
"22","South Bellevue ​Community Center Fitness Center (Bellevue)","14509 SE Newport Way, Bellevue, WA 98009","Bellevue","Washington",1,0,NA,NA,"3 to 6 courts",NA
"23","Spiritridge  Park (Bellevue)","16100 SE 33rd Pl, Bellevue, WA 98008","Bellevue","Washington",0,1,NA,NA,"1 tennis court that will be striped in 2023
                                                to have 2 pickleball courts.",NA
"24","Zumdieck ​Park (Bellevue)","1500 108th Ave NE, Bellevue, WA 98004","Bellevue","Washington",0,1,NA,NA,"2 tennis courts, one of them lined for pickleball using the tennis net",NA
