"","city","place","Web.Site","Phone.Number","Map","Indoor.or.Outdoor.","Estimated.Cost","Facebook.Page","NA.","Pickleball.Nets","Parking","Email.Address","Comments","Restroom","How.to.contact.other.players","water.fountain","Caution","Bathroom","Court.Surface","Time","Lights"
"1","Auburn","Auburn Community and Event Center (Auburn)
                                Also known as Gymnasium at Les Gove​ Park (Auburn)","http://www.auburnwa.gov/play","(253) 931-3043","910 9th St SE, Auburn, WA 98002","Indoor","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Auburn","Auburn Valley YMCA (Auburn)","http://www.seattleymca.org/locations/auburn-valley-ymca","(253) 833-2770","1620 Perimeter Rd SW, Auburn, WA 98001","Indoor","Free for members, daily fee for non-members.","https://www.facebook.com/AuburnValleyYMCA/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Auburn","Five Mile Lake​ Park (Auburn)","http://www.kingcounty.gov/services/parks-recreation/parks/parks-and-natural-lands/parksatoz.aspx",NA,"36429 44th Ave S, Auburn, WA 98001","Outdoor","Free","https://www.facebook.com/pages/5-Mile-Lake/165040780227460","2 courts.","You will have to bring your own pickleball net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Auburn","Game Farm ​Park (Auburn)","http://www.auburnwa.gov/things_to_do/...",NA,"Dedicated courts:
                                            3030 R St SE, Auburn, Washington 98002
                                            Shared courts:
                                            3030 R St SE, Auburn, Washington 98002","Public outdoor courts","Free","https://www.facebook.com/pages/Game-Farm-Park/125461140834682","4 dedicated pickleball courts and
                                            
                                            4 public tennis courts, each with lines for 2 pickleball courts","Bring your own net to play on the shared tennis and pickleball courts.
                                            
                                            The dedicated pickleball courts have permanent nets.","Off-street parking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Auburn","Scootie Brown ​Park (Auburn)","http://www.auburnwa.gov/things_to_do/...",NA,"1403 Henry Rd, Auburn, Washington 98002","Public outdoor court","Free","https://www.facebook.com/pages/Scootie-Brown-Park/122531214599949","1",NA,"Off-street parking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Auburn","Shaughnessy ​Park (Auburn)","http://www.auburnwa.gov/things_to_do/...",NA,"3302 21st St SE, Auburn, Washington 98002","Public outdoor court","Free","https://www.facebook.com/pages/Shaugnessy-Park/163247250482884","1",NA,"On street parking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bellevue","North Bellevue Community Center's
                                    Hidden Valley​ Field House (Bellevue)
                                Also known as the Bellevue Boys and Girls Club Gym","https://parks.bellevuewa.gov/parks-and-trails/parks/hidden-valley-park/","(425) 452-7681","1903 112th Ave NE, Bellevue, WA 98004","Indoor",NA,NA,"3 courts",NA,NA,"dlassiter@bellevuewa.gov","A large window affects lighting",NA,NA,NA,NA,NA,NA,NA,NA
"8","Bellevue","Bellevue Family YMCA (Bellevue)","http://www.seattleymca.org/locations/bellevue-family-ymca","(425) 746-9900","14230 Bel Red Rd, Bellevue, WA 98007","Indoor","Free for members, daily fee for non-members.","https://www.facebook.com/BellevueFamilyYMCA","3 courts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Bellevue","Bellevue Tennis Academy (a.k.a. Gorin Tennis Bellevue) (Bellevue)","https://www.gorintennis.com/bellevue/","(425) 256-3179",NA,NA,NA,"https://www.facebook.com/gorintennis",NA,NA,NA,"bellevuecustomercare@gorintennis.com",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Bellevue","Cherry Crest  Mini Park (Bellevue)","https://bellevuewa.gov/.../cherry-crest-mini-park",NA,"2532 127th Ave NE, Bellevue, WA 98005","Outdoor","Free",NA,"1 tennis courts lined for pickleball using the tennis net.","Use the tennis net as a pickleball net","Street Parking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
